order_id,customer_id,product_id,order_date,quantity,discount,total_amount,payment_method,shipping_cost,delivery_time_days,region,profit_margin,returned
O100074,C12612,P234348,2024-12-06,2,0.0,32.36,Credit Card,4.73,4,South,6.6,No
O100075,C17041,P248555,2023-12-21,3,0.05,74.27,COD,6.24,5,West,19.75,No
O100076,C11363,P242368,2025-02-13,2,0.3,32.52,Credit Card,5.1,4,Central,4.66,No
O100077,C16235,P248180,2024-05-14,2,0.0,41.46,COD,4.31,5,West,8.13,No
O100078,C15486,P224130,2023-12-20,1,0.0,23.16,UPI,4.81,3,Central,1.67,No
O100079,C17099,P233241,2024-06-28,4,0.0,26.12,Credit Card,6.21,3,North,-4.12,No
O100080,C11478,P244392,2024-03-13,1,0.05,78.78,Wallet,8.3,4,West,15.33,No
O100081,C17595,P249421,2025-01-23,1,0.0,3.95,Wallet,2.63,4,West,-2.31,No
O100082,C12556,P226620,2025-04-20,1,0.0,137.66,UPI,7.01,4,South,41.17,No
O100083,C10775,P217077,2023-09-23,4,0.1,174.28,Credit Card,8.27,6,West,52.73,No
O100084,C14014,P212663,2024-06-08,1,0.05,715.44,Debit Card,10.44,4,South,75.41,No
O100085,C10034,P217799,2025-08-04,3,0.0,38.76,Wallet,6.83,4,South,6.74,No
O100086,C16349,P247285,2024-06-12,1,0.0,3.04,Debit Card,1.93,4,South,-1.69,No
O100087,C13152,P217619,2024-06-18,4,0.1,92.52,Credit Card,9.09,3,North,-1.69,No
O100088,C11955,P203967,2023-12-20,1,0.05,17.58,PayPal,3.71,5,South,3.32,No
O100089,C11585,P227488,2024-07-05,1,0.15,60.66,Debit Card,5.34,7,South,21.96,No
O100090,C13943,P213211,2025-02-09,1,0.0,5.12,UPI,1.8,6,West,0.25,No
O100091,C17555,P221169,2024-07-08,1,0.0,3.65,UPI,1.97,4,South,-0.33,No
O100092,C13073,P230373,2024-08-10,3,0.0,2571.54,COD,12.41,4,West,296.17,No
O100093,C11021,P232669,2024-01-20,2,0.05,319.22,Debit Card,7.51,6,East,81.87,No
O100094,C13461,P206634,2025-07-02,3,0.0,129.99,Debit Card,6.28,4,Central,52.22,No
O100095,C12613,P200840,2025-02-22,1,0.0,22.26,Wallet,3.96,7,East,3.83,No
O100096,C15225,P234229,2023-09-12,1,0.05,4.89,Credit Card,3.77,5,East,-2.06,No
O100097,C13843,P221318,2024-09-26,5,0.1,168.39,COD,8.25,3,Central,50.69,No
O100098,C17989,P215405,2025-05-02,1,0.15,98.47,Debit Card,6.58,5,West,37.73,No
O100099,C11500,P247771,2025-05-08,1,0.0,823.81,COD,8.88,4,South,89.98,No
O100100,C14798,P236240,2025-02-25,1,0.1,15.62,Debit Card,4.69,5,West,-0.0,Yes
O100101,C16545,P215847,2025-02-04,1,0.2,29.91,Credit Card,3.68,5,North,4.69,No
O100102,C16873,P223547,2025-05-02,5,0.0,116.65,Credit Card,7.12,5,Central,33.71,No
O100103,C15675,P206575,2024-11-29,1,0.15,31.36,Credit Card,3.99,6,East,8.55,No
O100104,C10161,P230123,2024-11-14,1,0.2,191.42,Credit Card,8.6,4,South,45.0,No
O100105,C14297,P204843,2023-10-23,1,0.0,36.94,COD,5.01,7,South,5.33,No
O100106,C11981,P227451,2024-11-21,2,0.0,33.96,Credit Card,4.16,4,North,9.42,No
O100107,C10995,P207739,2024-06-08,2,0.0,203.48,Wallet,7.89,6,East,49.08,No
O100108,C16413,P214852,2024-07-11,1,0.2,10.02,Credit Card,2.22,3,North,1.79,No
O100109,C14911,P249092,2024-08-06,1,0.0,111.08,Debit Card,7.66,5,North,23.44,No
O100110,C13342,P209157,2023-12-23,3,0.05,62.79,COD,5.86,8,East,16.12,No
O100111,C14551,P222406,2023-12-04,3,0.05,61.5,UPI,5.64,3,North,22.04,No
O100112,C17629,P247284,2025-01-21,1,0.05,58.8,COD,7.65,4,South,12.93,No
O100113,C13798,P245200,2025-08-08,2,0.0,141.96,UPI,6.85,4,West,10.19,No
O100114,C11275,P207432,2024-10-29,1,0.0,1161.68,Credit Card,7.91,4,South,131.49,No
O100115,C11016,P218837,2025-05-07,1,0.0,13.88,Debit Card,5.31,4,South,-0.45,No
O100116,C17869,P215148,2025-06-03,1,0.0,53.93,Debit Card,5.21,5,North,10.97,No
O100117,C16439,P211194,2025-08-04,1,0.0,14.51,Credit Card,4.15,5,East,1.65,No
O100118,C17892,P232591,2025-05-06,3,0.2,6.77,Credit Card,3.43,5,West,-0.72,No
O100119,C16863,P214819,2023-11-12,4,0.05,167.5,Wallet,7.43,8,Central,51.19,No
O100120,C17916,P206625,2023-09-15,1,0.1,189.54,Credit Card,9.21,4,South,47.65,No
O100121,C10337,P207404,2025-02-04,1,0.0,118.71,COD,6.57,3,North,34.98,No
O100122,C10878,P214674,2025-01-20,2,0.0,25.34,PayPal,3.95,6,South,7.45,No
O100123,C11076,P210507,2025-04-06,1,0.2,9.42,COD,1.0,7,East,-0.25,No
O100124,C14887,P220387,2024-02-16,1,0.15,456.78,PayPal,9.4,4,Central,45.41,Yes
O100125,C13993,P218697,2023-11-18,1,0.0,4.84,COD,1.46,6,South,-1.07,No
O100126,C16360,P237391,2024-10-02,2,0.0,33.56,Credit Card,5.18,4,South,8.24,Yes
O100127,C14859,P219547,2025-01-30,1,0.0,10.98,Debit Card,1.74,5,South,2.65,No
O100128,C16331,P223570,2024-02-26,2,0.0,113.44,COD,8.53,6,East,25.5,No
O100129,C10379,P239783,2025-06-09,1,0.05,3.74,Credit Card,1.52,5,Central,-0.02,No
O100130,C10492,P228037,2025-02-12,1,0.2,6.3,Credit Card,2.16,7,South,-1.66,No
O100131,C17208,P230083,2025-09-02,3,0.0,16.35,Wallet,4.57,4,South,1.97,No
O100132,C15276,P248029,2024-06-06,1,0.1,20.37,Credit Card,3.95,7,East,3.18,No
O100133,C12062,P240550,2024-04-16,1,0.0,12.82,Credit Card,3.74,4,Central,2.03,No
O100134,C13884,P237982,2024-07-16,1,0.15,27.79,UPI,7.19,6,South,2.54,No
O100135,C10064,P239706,2024-07-26,2,0.0,67.52,UPI,5.44,6,South,-0.04,No
O100136,C12568,P202988,2025-05-13,2,0.0,28.26,COD,5.99,5,Central,-3.73,No
O100137,C15463,P205156,2025-04-03,1,0.0,92.86,Credit Card,7.23,5,South,34.56,No
O100138,C15248,P238280,2024-08-06,1,0.05,18.59,PayPal,5.17,6,South,2.27,No
O100139,C12027,P209788,2023-11-21,1,0.05,21.43,Debit Card,5.71,3,North,-4.0,No
O100140,C12695,P214185,2024-03-05,2,0.05,177.35,UPI,6.54,5,Central,55.53,No
O100141,C11495,P218734,2023-12-19,1,0.1,32.32,Debit Card,5.16,5,North,9.38,No
O100142,C17230,P209971,2023-09-27,1,0.0,155.94,PayPal,7.4,4,Central,36.26,No
O100143,C15258,P243408,2025-02-13,2,0.1,22.75,PayPal,4.33,7,North,4.77,No
O100144,C15618,P206487,2024-02-24,1,0.0,120.29,COD,7.36,5,West,26.32,No
O100145,C16736,P220997,2024-06-06,1,0.1,28.05,COD,6.92,4,West,1.49,No
O100146,C10391,P246456,2023-12-11,1,0.1,123.11,Credit Card,6.32,4,West,28.15,No
O100147,C15794,P212452,2024-10-16,1,0.0,284.7,Wallet,9.1,6,North,25.06,No
O100148,C14514,P215372,2025-02-20,2,0.0,1160.34,Debit Card,9.05,4,West,130.19,No
O100149,C16432,P244767,2023-12-19,4,0.0,3226.84,UPI,11.85,6,East,375.37,No
O100150,C14474,P213434,2024-12-04,4,0.0,385.24,UPI,9.61,7,East,36.62,No
O100151,C15892,P212416,2025-07-11,5,0.0,158.85,COD,7.94,5,South,63.54,No
O100152,C13561,P219248,2025-07-05,2,0.0,609.34,UPI,9.29,5,South,173.51,No
O100153,C12278,P246713,2024-01-02,1,0.0,862.36,PayPal,10.06,3,North,93.42,No
O100154,C17161,P228194,2024-03-17,1,0.05,44.71,Debit Card,5.76,3,Central,14.36,No
O100155,C16184,P233785,2024-12-04,1,0.0,4.21,COD,2.28,3,North,-0.39,No
O100156,C13099,P237458,2024-11-14,2,0.0,289.14,Debit Card,8.7,3,North,26.0,No
O100157,C16278,P208373,2023-09-18,1,0.0,31.13,Credit Card,3.29,3,North,5.43,No
O100158,C10200,P230283,2025-02-28,1,0.2,213.82,PayPal,7.25,4,Central,56.9,No
O100159,C15959,P229415,2025-07-14,1,0.05,474.15,Credit Card,8.66,4,Central,48.24,No
O100160,C14875,P226414,2024-02-27,2,0.2,474.59,Wallet,8.71,4,North,48.24,No
O100161,C17073,P214378,2025-07-09,1,0.0,52.12,COD,6.56,4,South,-2.39,No
O100162,C13104,P218336,2024-01-01,1,0.0,31.3,Credit Card,4.71,4,West,4.68,No
O100163,C17215,P204700,2024-11-10,1,0.1,130.58,Debit Card,8.51,3,Central,28.05,No
O100164,C14598,P213901,2024-04-08,1,0.0,26.03,Debit Card,7.52,4,West,4.19,No
O100165,C12454,P224838,2024-02-12,1,0.2,8.15,Credit Card,3.7,6,West,-0.44,No
O100166,C13645,P222597,2024-09-09,3,0.0,45.21,UPI,6.94,3,Central,11.14,No
O100167,C15847,P233428,2025-04-26,2,0.05,34.58,PayPal,5.84,6,West,6.26,No
O100168,C10804,P240149,2023-10-15,1,0.1,142.96,Credit Card,6.88,4,West,33.15,No
O100169,C16242,P235687,2025-07-18,2,0.0,32.54,Debit Card,4.52,5,South,10.12,No
O100170,C12731,P229493,2024-04-09,1,0.0,57.75,UPI,6.46,6,West,0.47,No
O100171,C15991,P231852,2025-09-03,1,0.0,40.65,PayPal,4.89,3,Central,-1.64,No
O100172,C12773,P210932,2024-09-10,2,0.05,193.12,Wallet,8.34,6,East,45.73,No
O100173,C11570,P223009,2025-07-27,1,0.0,171.02,UPI,8.52,3,Central,39.37,No
O100174,C15056,P233583,2024-08-09,2,0.05,7.39,UPI,4.18,4,Central,-3.59,No
O100175,C17906,P247278,2023-09-27,2,0.0,188.46,Debit Card,6.66,6,East,15.96,No
O100176,C16756,P227994,2025-09-06,3,0.1,2177.04,Credit Card,9.81,6,South,251.43,No
O100177,C15581,P229865,2025-07-31,1,0.05,93.0,UPI,7.45,3,North,20.45,No
O100178,C12690,P212289,2024-02-02,1,0.0,99.52,UPI,8.19,7,West,19.68,No
O100179,C13840,P228293,2023-12-28,1,0.0,16.48,UPI,3.97,8,East,2.62,No
O100180,C11028,P204734,2025-04-05,1,0.0,137.57,Wallet,8.34,5,West,8.17,No
O100181,C17385,P220013,2024-02-03,1,0.0,331.04,Credit Card,6.99,4,North,85.7,No
O100182,C10502,P235521,2024-11-05,2,0.0,33.7,PayPal,3.4,6,West,8.4,No
O100183,C16910,P206505,2024-11-13,1,0.0,26.91,Debit Card,2.99,4,North,5.08,No
O100184,C14493,P244327,2024-11-10,1,0.1,122.2,COD,8.48,5,East,34.29,No
O100185,C10870,P247673,2024-10-08,1,0.0,49.21,Credit Card,5.29,5,West,8.49,No
O100186,C16938,P204685,2025-01-24,2,0.0,82.04,Debit Card,6.87,4,North,25.95,No
O100187,C14488,P249353,2024-06-12,2,0.0,41.0,COD,5.35,6,East,-2.07,No
O100188,C10206,P218409,2024-03-13,1,0.0,57.32,Credit Card,7.37,3,Central,9.83,No
O100189,C15134,P219517,2023-11-04,2,0.0,97.16,Wallet,7.6,3,North,19.6,No
O100190,C15977,P244533,2024-09-14,1,0.0,37.86,Credit Card,5.8,4,North,11.24,No
O100191,C17721,P230475,2025-04-08,2,0.05,189.07,Credit Card,8.19,3,North,48.53,No
O100192,C17035,P236989,2024-12-31,1,0.05,7.37,PayPal,3.72,5,West,-0.77,No
O100193,C11484,P215327,2024-04-10,1,0.15,25.64,Credit Card,4.28,5,East,-2.23,No
O100194,C17858,P203671,2023-12-18,1,0.2,14.25,Debit Card,4.86,5,Central,-3.72,No
O100195,C17742,P204941,2024-08-10,1,0.0,49.2,Credit Card,6.38,6,West,13.3,No
O100196,C10863,P226372,2025-08-01,1,0.0,236.98,UPI,8.56,4,South,19.88,No
O100197,C12790,P212466,2025-01-24,1,0.0,23.49,Credit Card,4.42,4,West,2.63,No
O100198,C17408,P218286,2025-06-30,1,0.0,52.7,Credit Card,7.0,5,West,14.08,No
O100199,C10563,P244959,2025-05-24,3,0.05,57.26,Credit Card,7.4,6,East,15.5,No
O100200,C15116,P204588,2025-07-23,4,0.0,53.08,COD,4.7,5,Central,-0.45,No
O100201,C14191,P228080,2024-11-22,1,0.0,125.56,UPI,7.14,5,North,28.02,No
O100202,C16019,P224544,2023-10-13,1,0.0,72.87,Debit Card,7.84,6,East,14.02,No
O100203,C11757,P210811,2025-04-18,2,0.0,291.38,Credit Card,8.39,7,Central,26.58,No
O100204,C16628,P218733,2024-12-16,1,0.2,21.01,Debit Card,4.51,5,South,4.94,No
O100205,C17574,P240696,2024-01-03,1,0.2,141.56,Wallet,7.16,6,East,32.48,No
O100206,C16374,P248093,2024-09-25,1,0.0,33.7,COD,6.42,5,East,-3.72,No
O100207,C16892,P239888,2025-04-21,4,0.0,7.96,Debit Card,1.92,4,Central,-1.28,No
O100208,C11678,P247042,2024-06-23,1,0.05,7.39,Debit Card,1.92,3,North,1.04,No
O100209,C13242,P230059,2023-09-16,1,0.0,537.23,COD,9.75,3,North,54.72,No
O100210,C14636,P237487,2024-11-08,1,0.0,206.49,Credit Card,10.12,7,East,47.7,No
O100211,C11059,P240849,2023-12-22,1,0.0,33.43,Credit Card,6.41,5,North,3.62,No
O100212,C16668,P214550,2023-12-28,3,0.05,331.65,UPI,8.23,8,East,31.57,No
O100213,C15279,P249122,2023-12-22,2,0.0,54.98,UPI,6.08,6,East,13.16,No
O100214,C11722,P210864,2024-05-06,2,0.0,3.72,Credit Card,3.06,3,Central,-2.76,No
O100215,C13314,P225394,2025-01-14,1,0.0,475.97,Credit Card,7.92,4,West,49.2,No
O100216,C13157,P219061,2024-05-11,1,0.0,410.13,Debit Card,8.95,4,North,40.27,No
O100217,C15915,P249699,2024-05-16,1,0.3,35.66,Debit Card,6.4,6,East,9.65,No
O100218,C12625,P212624,2024-02-03,5,0.05,39.9,UPI,6.54,4,South,-3.35,No
O100219,C12729,P224934,2025-05-21,1,0.0,21.91,Debit Card,3.83,4,North,4.93,No
O100220,C16700,P203361,2023-11-24,1,0.2,33.22,Credit Card,4.47,3,North,-1.81,No
O100221,C11597,P213707,2025-06-18,1,0.0,323.62,Credit Card,10.29,5,East,86.8,No
O100222,C13060,P201924,2024-08-15,1,0.0,19.71,UPI,4.96,6,South,0.56,No
O100223,C12693,P229487,2024-05-25,1,0.0,1.02,Credit Card,2.2,5,East,-2.12,No
O100224,C14891,P212647,2025-06-26,1,0.0,433.77,Credit Card,7.22,3,Central,114.24,Yes
O100225,C15147,P231734,2024-03-05,1,0.05,40.55,Wallet,5.77,5,West,8.42,No
O100226,C15739,P229018,2025-05-19,1,0.0,168.7,Credit Card,8.16,7,West,39.08,No
O100227,C13627,P221627,2025-07-29,1,0.0,49.93,Wallet,6.99,4,South,12.98,No
O100228,C11363,P221031,2025-03-13,2,0.15,14.4,Debit Card,4.4,5,South,-3.25,No
O100229,C17965,P239449,2024-01-23,1,0.0,33.57,Credit Card,5.32,4,Central,6.43,No
O100230,C11981,P202701,2023-09-25,2,0.0,68.12,Debit Card,5.7,4,North,13.37,No
O100231,C15450,P246943,2024-07-15,1,0.0,32.11,COD,4.49,6,South,-1.92,No
O100232,C11663,P242890,2024-03-29,1,0.0,389.04,COD,7.63,4,North,39.05,No
O100233,C11529,P249573,2024-04-14,1,0.0,5.91,Debit Card,3.39,3,North,-1.03,No
O100234,C12038,P216719,2024-09-18,2,0.1,212.45,COD,9.3,4,South,50.19,No
O100235,C17515,P209718,2025-06-26,3,0.15,159.04,UPI,8.82,3,North,35.71,No
O100236,C15592,P200056,2024-12-09,1,0.0,30.96,Credit Card,6.17,5,West,2.5,No
O100237,C13302,P246741,2025-04-16,1,0.05,34.61,COD,4.45,4,North,5.24,No
O100238,C12237,P215352,2023-10-10,1,0.05,86.03,Debit Card,7.29,5,West,18.52,No
O100239,C17392,P247820,2024-10-26,1,0.05,11.34,Credit Card,4.76,6,West,-3.85,No
O100240,C15504,P203147,2024-07-17,1,0.0,215.45,Credit Card,7.77,7,East,52.56,No
O100241,C15496,P203537,2024-09-20,4,0.05,28.88,Credit Card,6.38,5,South,5.17,No
O100242,C11306,P222812,2025-09-03,1,0.15,215.36,Debit Card,9.96,3,Central,54.65,No
O100243,C14029,P200721,2025-06-17,1,0.0,40.94,Debit Card,4.6,4,Central,9.73,No
O100244,C16776,P245037,2025-01-12,1,0.0,8.6,Credit Card,2.96,4,West,0.91,No
O100245,C12675,P216769,2025-06-22,1,0.15,53.07,COD,8.22,4,West,7.7,No
O100246,C15068,P240194,2024-01-07,3,0.05,2521.68,Wallet,12.53,6,West,290.07,No
O100247,C15864,P246556,2024-03-02,1,0.0,95.63,Credit Card,9.07,4,West,17.71,No
O100248,C11282,P246775,2025-06-25,1,0.1,25.52,Credit Card,4.68,4,Central,-2.64,No
O100249,C17526,P243847,2025-04-15,1,0.0,7.27,Debit Card,2.17,3,North,1.1,No
O100250,C10709,P214346,2024-02-13,1,0.1,113.04,Debit Card,7.9,4,West,31.66,No
O100251,C15575,P239883,2024-11-12,4,0.0,130.76,PayPal,6.66,3,North,39.11,No
O100252,C15530,P210911,2024-09-06,1,0.0,140.25,Wallet,7.55,5,East,41.54,Yes
O100253,C14744,P200259,2023-09-25,1,0.05,260.98,PayPal,9.1,4,North,63.97,No
O100254,C14413,P220872,2025-02-09,2,0.0,116.08,Credit Card,7.03,6,East,33.6,No
O100255,C13748,P208791,2024-08-30,1,0.0,413.13,PayPal,8.79,4,South,40.79,No
O100256,C17392,P207536,2024-09-11,1,0.0,41.29,COD,4.19,5,West,7.37,No
O100257,C17986,P220432,2023-12-01,1,0.0,25.62,PayPal,6.05,4,Central,5.48,No
O100258,C15353,P232750,2024-02-27,1,0.05,293.69,COD,9.11,7,East,26.13,No
O100259,C14779,P241715,2024-08-08,1,0.0,182.17,Debit Card,8.24,4,South,13.62,No
O100260,C10663,P244537,2024-09-18,1,0.15,237.11,Credit Card,6.78,6,East,21.67,No
O100261,C11998,P219541,2024-02-28,1,0.0,135.15,COD,7.76,7,East,39.54,No
O100262,C17994,P243718,2024-01-15,1,0.1,4.73,Debit Card,1.41,5,West,0.25,No
O100263,C13445,P216860,2024-01-05,1,0.0,16.22,Credit Card,4.87,8,East,2.43,No
O100264,C13743,P205283,2023-11-26,1,0.0,63.45,Credit Card,5.95,7,East,11.82,No
O100265,C15727,P230743,2023-10-10,1,0.2,131.84,Credit Card,5.96,4,North,40.18,No
O100266,C11495,P242559,2023-11-16,1,0.0,73.7,Wallet,6.11,4,West,23.37,No
O100267,C13304,P235127,2025-02-04,1,0.0,126.01,Debit Card,5.32,5,East,29.96,No
O100268,C13763,P207405,2024-08-15,1,0.0,309.52,UPI,8.23,5,East,28.91,No
O100269,C15232,P231181,2023-12-04,1,0.0,119.82,Debit Card,6.39,6,South,35.55,Yes
O100270,C11853,P232205,2025-04-29,1,0.0,1.09,COD,1.22,5,East,-1.13,No
O100271,C15616,P224408,2025-03-12,1,0.15,10.1,COD,4.56,5,South,-3.75,No
O100272,C16585,P217645,2025-03-26,1,0.15,5.3,Credit Card,3.21,4,North,-1.36,No
O100273,C14659,P247125,2024-12-18,1,0.05,1111.79,Debit Card,11.47,4,Central,121.94,No
O100274,C11291,P206323,2024-12-21,1,0.0,60.81,Debit Card,5.5,5,North,11.53,No
O100275,C13581,P205937,2025-08-04,1,0.05,101.52,Wallet,7.05,5,South,21.38,No
O100276,C17974,P243798,2025-03-09,1,0.2,64.94,Wallet,7.12,4,North,11.06,No
O100277,C13457,P230431,2025-02-25,1,0.15,49.22,Credit Card,5.57,6,East,16.58,No
O100278,C17554,P217882,2024-02-14,1,0.0,428.38,Debit Card,9.79,8,East,140.14,No
O100279,C17280,P225324,2024-06-28,2,0.1,131.44,Credit Card,6.39,5,West,9.38,No
O100280,C11636,P213003,2025-08-05,1,0.1,31.73,UPI,5.26,5,North,9.02,No
O100281,C13696,P243346,2025-01-30,2,0.15,11.97,Credit Card,4.65,4,South,-3.69,No
O100282,C12999,P225106,2023-09-30,2,0.0,197.34,Debit Card,9.02,4,North,14.66,No
O100283,C13152,P212979,2023-12-01,1,0.1,55.02,COD,6.64,5,North,9.87,No
O100284,C10698,P234977,2025-03-14,1,0.0,838.28,Credit Card,10.7,5,North,224.02,No
