product_id,category,price,profit_margin
P240588,Electronics,1345.92,143.89
P201631,Electronics,678.66,57.64
P239038,Electronics,683.04,64.84
P242225,Electronics,78.77,2.82
P212764,Electronics,992.15,94.16
P245650,Sports,29.45,4.22
P224983,Fashion,165.63,42.41
P232323,Toys,9.69,2.18
P220300,Beauty,18.19,5.42
P240160,Beauty,12.36,1.14
P204367,Fashion,9.7,-0.17
P247765,Home,65.85,11.59
P238585,Electronics,287.86,26.15
P220156,Fashion,62.21,16.13
P218135,Electronics,122.34,3.44
P220917,Fashion,19.7,4.07
P207597,Electronics,325.02,59.6
P240819,Fashion,82.55,21.46
P229709,Electronics,59.96,-0.69
P200857,Home,25.66,2.7
P224271,Grocery,3.06,-1.88
P246718,Toys,3.34,0.48
P224532,Beauty,50.29,83.52
P220302,Sports,18.04,10.24
P200947,Grocery,9.99,-3.59
P203959,Home,16.53,0.03
P246767,Electronics,327.4,26.07
P213820,Fashion,90.27,24.47
P244156,Home,130.92,65.15
P208373,Home,31.13,5.43
P227927,Sports,96.07,102.31
P208628,Toys,40.58,9.61
P237517,Home,60.22,10.31
P209982,Grocery,7.57,-2.99
P208853,Toys,19.65,3.21
P248641,Electronics,141.54,8.63
P243375,Beauty,18.28,4.04
P247814,Home,370.59,94.57
P244698,Electronics,94.55,3.23
P245749,Home,24.07,1.6
P246965,Electronics,52.0,4.94
P232263,Sports,27.76,2.56
P204844,Sports,114.1,21.36
P243173,Sports,170.16,43.06
P221225,Grocery,45.28,-1.44
P224231,Electronics,423.75,91.74
P215123,Fashion,17.86,2.81
P223807,Electronics,143.78,42.63
P213101,Toys,67.11,19.12
P201552,Sports,662.03,494.92
P237628,Electronics,78.58,8.41
P209514,Home,45.88,4.98
P219076,Grocery,3.29,-2.66
P231500,Grocery,18.25,-1.26
P211981,Electronics,251.51,17.93
P236098,Fashion,28.08,22.43
P229790,Grocery,39.22,0.57
P206521,Beauty,10.81,1.08
P222619,Beauty,24.89,4.71
P236102,Toys,4.54,-0.9
P206420,Fashion,75.03,19.72
P231158,Electronics,682.24,72.01
P225895,Grocery,2.68,-1.74
P230574,Beauty,17.84,3.73
P248631,Electronics,771.3,77.05
P234597,Sports,87.07,19.4
P204362,Beauty,6.78,-1.31
P223878,Toys,3.03,-0.28
P203900,Home,50.41,8.05
P200406,Beauty,22.01,4.3
P245606,Home,262.24,49.5
P218330,Fashion,63.31,15.48
P232009,Beauty,36.64,10.09
P206882,Home,258.99,60.95
P215858,Fashion,168.16,49.06
P222292,Beauty,4.61,0.15
P239253,Electronics,194.81,10.97
P224296,Electronics,493.83,41.62
P201706,Sports,31.3,3.44
P205203,Sports,18.52,10.77
P249199,Beauty,33.94,24.16
P227610,Beauty,23.77,4.91
P225864,Home,191.23,46.43
P234741,Fashion,63.63,13.83
P216890,Home,78.15,75.08
P213916,Toys,6.18,1.58
P212381,Electronics,191.37,10.59
P231512,Fashion,48.93,61.02
P239916,Sports,211.13,56.4
P204438,Toys,27.19,5.78
P222604,Home,187.07,43.36
P242543,Home,108.87,83.28
P226278,Toys,8.06,3.88
P216340,Toys,26.41,4.97
P233001,Home,160.22,37.98
P240716,Beauty,50.98,33.75
P233941,Grocery,13.43,-2.18
P212722,Electronics,540.25,54.51
P217524,Fashion,6.35,-2.54
P249630,Fashion,27.13,4.77
P222781,Fashion,20.03,11.93
P223261,Grocery,36.95,-2.38
P242802,Sports,17.89,0.33
P235582,Grocery,29.42,-2.23
P205433,Toys,94.99,29.34
P227065,Toys,39.54,9.5
P201785,Beauty,60.38,46.0
P248998,Electronics,696.03,70.58
P218753,Home,27.27,1.24
P208064,Sports,68.82,13.36
P236110,Electronics,590.07,130.32
P219642,Home,41.82,5.22
P249991,Beauty,3.38,-0.16
P217978,Electronics,471.2,47.1
P232513,Electronics,76.57,3.22
P232871,Sports,124.39,31.15
P232126,Sports,115.99,28.73
P218008,Home,187.87,44.22
P212841,Home,36.7,4.06
P245314,Electronics,638.3,58.55
P203965,Beauty,23.18,5.43
P231263,Toys,21.69,3.39
P209974,Home,54.99,6.6
P220909,Home,176.84,43.75
P214375,Electronics,50.7,3.81
P227913,Fashion,53.62,69.72
P236530,Beauty,27.24,7.74
P222816,Sports,123.97,30.21
P224651,Fashion,67.98,15.42
P207865,Electronics,100.47,5.05
P203724,Grocery,6.61,-1.49
P229516,Sports,55.12,57.15
P246539,Beauty,8.65,10.35
P204292,Fashion,121.69,35.78
P207334,Fashion,168.45,44.14
P237519,Electronics,338.89,31.14
P224325,Sports,91.58,20.51
P219658,Toys,2.52,-1.39
P230572,Toys,3.77,-0.55
P242712,Home,82.86,16.59
P232100,Electronics,142.28,6.8
P238974,Beauty,20.81,1.54
P223923,Toys,24.04,3.46
P232545,Toys,22.12,4.91
P227154,Fashion,178.45,52.99
P235877,Grocery,15.07,-1.99
P239334,Electronics,339.81,64.89
P205797,Fashion,137.74,40.29
P221955,Electronics,120.85,6.78
P203637,Home,60.95,10.0
P203341,Fashion,50.28,62.64
P200775,Sports,90.22,18.64
P224435,Grocery,6.39,-2.33
P206029,Electronics,804.66,182.65
P248666,Toys,4.64,-0.42
P237256,Sports,108.52,25.38
P223071,Toys,12.66,10.46
P211954,Fashion,91.83,23.57
P212857,Toys,40.35,11.01
P237950,Sports,49.34,21.92
P205373,Fashion,80.66,16.15
P203183,Grocery,5.19,-3.13
P226844,Electronics,511.79,165.12
P212536,Fashion,69.31,15.27
P205627,Toys,5.65,-1.91
P212926,Fashion,18.21,1.72
P209479,Fashion,5.33,-1.89
P243926,Sports,108.92,25.03
P218964,Electronics,146.72,10.76
P246992,Fashion,36.77,4.65
P207316,Toys,27.03,6.31
P233081,Fashion,29.06,11.73
P234999,Grocery,10.63,-3.61
P229948,Home,59.26,25.23
P219292,Beauty,8.71,6.28
P219775,Electronics,75.16,0.54
P212003,Fashion,96.2,141.61
P246200,Home,78.1,15.58
P248005,Fashion,184.75,56.63
P249854,Grocery,2.22,-2.42
P216807,Beauty,32.12,7.59
P246153,Beauty,20.97,3.0
P237588,Beauty,6.4,6.62
P243557,Electronics,602.22,58.12
P230639,Grocery,18.3,-3.65
P213214,Sports,35.77,3.38
P231122,Beauty,35.55,7.93
P245601,Electronics,574.37,58.79
P243949,Home,341.3,87.43
P210645,Electronics,331.48,32.7
P238435,Grocery,2.51,-1.34
P231656,Home,49.98,8.1
P214198,Electronics,562.02,123.43
P214166,Toys,5.38,0.81
P235362,Toys,38.95,52.11
P217425,Grocery,39.63,-2.77
P205652,Sports,55.43,41.88
P242010,Fashion,39.35,8.01
P223584,Toys,3.46,0.02
P249795,Fashion,77.68,15.63
P225931,Sports,28.6,3.69
P211015,Electronics,270.83,24.6
P209513,Fashion,39.18,8.08
P201625,Home,113.17,26.06
P223172,Toys,13.04,1.58
P236294,Grocery,20.68,-3.12
P226983,Fashion,9.55,-0.43
P247278,Electronics,94.23,15.96
P224381,Grocery,18.68,-2.07
P240070,Electronics,621.34,211.91
P201877,Electronics,393.26,38.97
P218232,Sports,101.05,22.21
P239810,Home,114.1,22.89
P227192,Home,67.14,14.28
P229533,Home,201.2,47.86
P247715,Sports,143.28,35.54
P214720,Grocery,16.42,-2.58
P220919,Sports,45.9,19.91
P200809,Fashion,78.93,22.08
P248842,Sports,62.0,13.48
P249547,Home,88.26,14.9
P237971,Home,56.47,21.51
P243803,Electronics,797.62,76.37
P238838,Sports,165.01,44.28
P210019,Fashion,131.9,37.61
P246862,Beauty,29.03,8.57
P245759,Electronics,300.75,29.81
P224643,Sports,87.75,17.54
P243855,Electronics,147.21,11.66
P202278,Toys,9.94,-0.06
P215058,Home,196.92,42.06
P213909,Home,48.39,6.93
P224060,Home,11.97,1.19
P226545,Home,87.18,14.92
P233411,Fashion,7.65,-0.47
P235761,Beauty,7.31,-0.79
P227147,Home,149.22,35.16
P210178,Grocery,33.0,-3.37
P228374,Toys,64.05,18.53
P247950,Electronics,904.47,96.89
P222539,Grocery,13.26,-4.75
P214173,Electronics,239.58,18.94
P232797,Grocery,3.15,-3.09
P222091,Electronics,64.98,0.3
P202251,Sports,22.07,0.77
P241560,Toys,8.77,3.37
P232150,Fashion,13.7,2.97
P222210,Electronics,51.36,0.22
P204398,Home,493.94,643.36
P248638,Home,18.49,-0.95
P247539,Fashion,26.62,5.51
P244283,Home,39.56,6.14
P205861,Beauty,105.81,181.84
P224889,Beauty,5.06,-0.0
P239438,Beauty,24.53,5.88
P220456,Fashion,54.5,11.81
P231461,Beauty,12.03,1.05
P210542,Toys,2.92,-2.93
P214509,Electronics,94.87,4.74
P200104,Grocery,38.35,-0.84
P216538,Toys,27.15,14.15
P218349,Grocery,9.64,-1.06
P204003,Sports,19.92,0.91
P232379,Toys,17.71,12.37
P242622,Sports,94.85,21.33
P212951,Toys,26.48,23.05
P248569,Sports,75.71,22.72
P228738,Electronics,199.78,16.17
P210780,Toys,11.36,1.9
P221365,Electronics,56.03,0.1
P215665,Grocery,15.43,-2.38
P236324,Home,13.8,1.65
P203400,Home,48.19,7.93
P231277,Electronics,255.84,20.54
P222022,Electronics,229.5,18.24
P219975,Beauty,15.66,21.95
P246600,Beauty,3.3,0.94
P202208,Beauty,67.63,25.86
P205686,Sports,267.35,60.56
P236016,Grocery,32.29,-1.83
P235216,Home,293.51,64.41
P209401,Home,321.1,83.22
P241203,Beauty,44.73,14.3
P204169,Electronics,405.41,87.89
P233958,Sports,198.21,49.8
P242142,Home,159.04,38.07
P238573,Home,137.2,31.31
P205709,Toys,11.23,2.48
P203728,Electronics,348.25,33.43
P205979,Home,92.9,19.44
P202861,Beauty,18.13,5.21
P202066,Beauty,60.07,18.65
P213720,Fashion,10.34,0.15
P210347,Grocery,21.09,-2.83
P223793,Sports,159.87,31.82
P234641,Grocery,32.79,-4.54
P245316,Grocery,28.96,-0.48
P202839,Electronics,177.15,54.94
P218741,Sports,541.05,404.14
P202204,Home,16.5,-0.35
P241163,Toys,39.44,10.3
P220461,Fashion,12.33,1.27
P238938,Electronics,177.56,13.22
P204632,Electronics,329.9,28.77
P229610,Home,56.07,23.58
P225654,Electronics,469.85,31.2
P246700,Fashion,65.77,17.86
P212880,Home,836.33,223.18
P232524,Home,37.56,4.04
P210357,Fashion,40.42,6.4
P240711,Electronics,381.25,32.39
P226582,Grocery,1.92,-1.49
P222644,Sports,170.06,40.03
P218569,Fashion,110.63,32.6
P238152,Toys,15.6,12.58
P226195,Electronics,213.66,15.28
P248362,Sports,83.67,16.94
P242695,Electronics,1389.4,155.65
P213687,Grocery,15.28,-4.11
P220628,Grocery,34.29,-2.95
P246138,Beauty,25.11,4.34
P207061,Electronics,94.39,5.07
P244111,Grocery,1.78,-2.41
P222595,Electronics,331.6,32.05
P246357,Fashion,25.56,11.01
P202965,Toys,15.3,1.32
P240805,Beauty,8.6,4.32
P201720,Home,114.81,24.75
P204575,Sports,336.28,74.52
P215220,Home,208.09,99.5
P230795,Beauty,8.63,1.35
P248915,Toys,18.68,1.24
P203475,Fashion,49.09,12.67
P208849,Toys,5.01,0.03
P232892,Home,16.09,3.04
P237297,Beauty,26.11,5.56
P220783,Fashion,16.21,5.54
P225047,Grocery,1.89,-1.14
P245922,Toys,2.41,-0.67
P214234,Fashion,13.66,4.82
P240377,Grocery,29.29,-3.29
P213928,Grocery,11.34,0.07
P203875,Fashion,20.72,1.43
P206798,Toys,27.51,16.41
P243272,Fashion,63.71,32.56
P227897,Grocery,8.22,-1.94
P224072,Grocery,4.84,-3.12
P225399,Beauty,4.74,0.1
P230126,Grocery,8.67,-4.46
P212908,Sports,72.87,13.8
P204418,Fashion,66.29,17.49
P241880,Toys,2.5,-0.68
P242164,Home,324.3,81.94
P229042,Sports,67.31,93.8
P229072,Sports,83.99,15.66
P236376,Fashion,12.07,1.87
P213844,Home,59.02,10.72
P202845,Sports,97.46,49.8
P233211,Toys,18.88,2.42
P204119,Fashion,93.55,25.37
P221595,Home,97.01,14.98
P217488,Grocery,26.51,-1.92
P218299,Electronics,258.93,20.29
P212946,Sports,52.42,8.32
P210122,Fashion,11.98,-1.4
P229867,Home,44.9,30.4
P224689,Electronics,301.49,17.22
P239161,Electronics,685.92,129.35
P234098,Electronics,223.69,15.1
P219095,Beauty,48.94,95.53
P218701,Electronics,256.66,73.34
P247324,Sports,134.45,32.66
P210730,Electronics,135.21,10.11
P202610,Beauty,34.06,6.59
P238257,Toys,2.32,0.13
P207958,Electronics,1428.92,160.16
P215945,Sports,111.71,26.26
P214160,Home,16.83,-0.16
P218852,Beauty,16.29,3.11
P249605,Home,50.83,8.85
P217514,Home,171.67,183.07
P220110,Electronics,82.12,3.01
P240779,Fashion,25.61,2.96
P242997,Grocery,1.57,-0.81
P246497,Sports,123.58,26.99
P235219,Electronics,185.68,35.65
P233289,Sports,134.97,113.51
P206031,Home,168.59,38.13
P202207,Toys,26.61,6.19
P228720,Home,89.53,19.4
P235122,Home,24.02,1.03
P210423,Grocery,14.25,-1.66
P247500,Toys,11.75,4.27
P244107,Grocery,15.14,-2.81
P218748,Toys,20.76,25.32
P233803,Sports,20.92,11.84
P202922,Electronics,503.16,104.66
P246798,Home,61.85,8.47
P233228,Beauty,41.72,25.28
P213181,Toys,33.63,20.03
P222557,Fashion,69.56,85.59
P211281,Beauty,3.41,-2.36
P235705,Fashion,24.23,3.76
P205811,Electronics,118.22,6.65
P241655,Electronics,105.45,6.12
P222211,Toys,22.53,2.97
P218446,Fashion,6.43,-0.8
P211740,Sports,20.04,1.63
P213918,Beauty,69.11,19.94
P200355,Grocery,5.72,-1.24
P244097,Grocery,14.66,-1.92
P203750,Toys,2.45,-0.33
P205409,Home,18.81,-0.21
P229824,Beauty,14.15,1.68
P246130,Electronics,60.66,29.65
P237098,Grocery,37.34,-3.39
P208675,Beauty,52.32,17.03
P218175,Grocery,2.37,-2.35
P244707,Sports,17.35,1.86
P232286,Electronics,1538.16,173.47
P206693,Electronics,616.58,283.16
P242443,Electronics,360.44,33.75
P230114,Fashion,19.39,0.48
P243751,Fashion,12.82,3.47
P247782,Electronics,547.05,56.54
P227814,Fashion,86.69,53.16
P244117,Fashion,29.94,3.68
P248329,Home,42.2,6.79
P237363,Electronics,126.44,4.32
P242324,Electronics,250.13,22.16
P228788,Electronics,285.71,111.84
P231303,Grocery,15.23,-3.9
P235102,Grocery,5.04,-2.96
P237427,Sports,86.75,18.82
P224085,Sports,28.47,35.14
P219475,Toys,29.11,16.91
P208592,Fashion,39.59,23.48
P242523,Toys,3.26,-1.29
P247390,Home,21.03,1.13
P203598,Toys,62.13,17.2
P212475,Electronics,66.15,2.8
P200331,Home,38.92,14.2
P241121,Fashion,82.83,40.9
P230513,Home,95.07,19.76
P207151,Beauty,27.96,5.93
P230480,Beauty,15.62,3.29
P205753,Beauty,19.57,4.08
P200042,Fashion,76.85,19.75
P240924,Grocery,4.43,-1.62
P203696,Electronics,477.97,104.28
P214098,Electronics,1332.66,148.15
P248102,Electronics,651.21,70.92
P233107,Fashion,73.79,19.5
P205617,Home,56.28,42.89
P228697,Home,117.95,24.04
P204834,Fashion,34.66,4.63
P239913,Grocery,3.55,-2.92
P215468,Fashion,247.05,73.82
P228030,Beauty,18.91,8.45
P204437,Toys,10.18,4.92
P225309,Electronics,56.3,23.95
P226517,Toys,19.63,9.28
P240176,Electronics,148.72,11.02
P224677,Fashion,77.43,20.45
P229625,Home,12.35,-2.04
P238717,Sports,248.16,65.76
P219689,Electronics,766.14,263.38
P232374,Toys,42.89,13.46
P213528,Fashion,127.43,118.36
P214553,Toys,33.77,9.55
P215749,Sports,177.19,42.23
P245156,Home,245.35,60.87
P224490,Sports,76.8,16.74
P233921,Electronics,474.21,48.22
P225414,Fashion,92.74,26.42
P217099,Grocery,10.67,-2.28
P231360,Beauty,79.17,24.54
P236949,Grocery,5.94,-3.66
P203417,Fashion,51.78,12.95
P228714,Grocery,37.5,-1.31
P244639,Beauty,6.01,1.31
P221305,Beauty,13.93,12.58
P229073,Fashion,21.25,3.81
P235105,Grocery,12.83,-3.11
P249957,Home,186.08,37.42
P245005,Beauty,37.02,7.53
P240621,Home,157.49,37.02
P247538,Electronics,97.22,3.87
P200742,Home,109.45,24.03
P218379,Sports,13.61,-0.28
P241032,Home,34.14,4.75
P232031,Toys,17.99,8.76
P210707,Fashion,87.16,47.69
P215457,Grocery,4.36,-3.57
P234326,Home,143.12,71.54
P221244,Toys,39.6,19.44
P231832,Electronics,126.02,34.76
P242230,Electronics,112.91,33.5
P221694,Home,341.15,371.66
P227089,Toys,7.69,1.83
P208043,Fashion,80.81,103.77
P233796,Beauty,55.96,41.68
P247497,Home,260.07,208.7
P214687,Electronics,194.42,13.81
P231799,Electronics,124.33,9.32
P235817,Fashion,7.89,0.06
P204247,Grocery,3.08,0.13
P223633,Sports,142.74,36.37
P226820,Toys,9.07,-1.05
P202658,Home,70.31,12.8
P217538,Toys,24.02,3.35
P244217,Fashion,32.39,6.68
P210410,Home,316.67,306.48
P235146,Fashion,55.43,12.39
P204995,Home,60.28,25.77
P207510,Beauty,21.2,5.89
P237920,Toys,20.64,3.08
P242171,Sports,13.68,0.48
P221961,Fashion,32.27,27.44
P207312,Home,34.5,5.97
P223916,Sports,27.01,2.69
P211656,Toys,6.45,-2.32
P234100,Toys,2.45,0.04
P243612,Electronics,79.64,-0.01
P234832,Toys,50.25,12.68
P240300,Fashion,7.18,0.7
P219174,Electronics,958.11,332.53
P232541,Beauty,105.2,66.31
P241033,Sports,217.36,121.95
P248298,Electronics,625.48,65.98
P204749,Grocery,19.9,-2.94
P226312,Beauty,27.27,19.08
P246654,Fashion,26.84,4.69
P233072,Beauty,11.52,2.29
P201840,Fashion,71.54,17.93
P223218,Electronics,553.4,45.07
P249294,Electronics,404.8,40.27
P217942,Sports,83.17,12.38
P238575,Beauty,49.13,31.89
P230968,Beauty,6.73,1.89
P213197,Electronics,223.11,45.11
P210470,Grocery,48.04,-2.82
P248853,Electronics,151.9,10.3
P245819,Toys,32.2,7.17
P214625,Electronics,636.28,67.49
P206547,Fashion,58.04,13.93
P248650,Grocery,12.04,-3.53
P216957,Electronics,551.08,54.78
P235070,Fashion,8.56,-0.63
P206609,Electronics,52.94,-2.95
P247069,Sports,89.68,48.12
P233959,Sports,128.52,27.88
P219259,Beauty,48.59,15.72
P206669,Home,56.75,6.58
P215352,Sports,90.56,18.52
P228363,Electronics,464.74,101.82
P225658,Home,124.99,24.55
P212494,Sports,80.41,17.98
P224093,Home,46.6,5.78
P229532,Grocery,28.8,-3.61
P214844,Toys,14.04,4.89
P206344,Toys,8.6,0.47
P201585,Home,34.02,3.64
P231693,Fashion,29.22,5.25
P237734,Toys,17.23,10.4
P225809,Electronics,66.67,1.32
P221884,Electronics,1305.94,145.18
P218534,Sports,106.93,22.32
P240690,Electronics,911.53,99.32
P219137,Grocery,6.52,-2.51
P204474,Electronics,313.63,29.22
P211053,Toys,15.87,14.91
P247154,Toys,53.79,17.97
P215999,Fashion,16.65,0.54
P222426,Fashion,57.76,13.01
P225387,Beauty,62.74,21.03
P207015,Fashion,19.1,8.01
P200917,Electronics,71.73,34.54
P219507,Fashion,89.6,18.84
P207171,Electronics,108.37,6.41
P245486,Electronics,161.2,68.1
P246209,Grocery,1.29,-0.51
P222011,Sports,174.91,43.48
P231845,Toys,8.15,0.21
P248428,Sports,124.99,177.32
P242918,Beauty,3.25,-0.6
P222161,Fashion,51.32,10.52
P232222,Beauty,27.83,5.1
P236955,Home,44.01,1.89
P235049,Toys,11.15,-0.66
P246172,Sports,83.49,19.62
P225583,Fashion,5.98,3.53
P208282,Sports,137.87,35.06
P202460,Home,76.04,55.98
P248910,Sports,85.32,43.35
P223234,Grocery,25.05,-5.43
P223427,Sports,411.87,224.42
P222054,Home,142.56,28.68
P200315,Sports,96.98,21.54
P232407,Home,169.47,40.46
P206516,Sports,127.34,29.87
P221649,Electronics,302.75,59.91
P229214,Electronics,79.11,2.17
P219857,Toys,10.11,0.49
P202600,Beauty,97.97,34.5
P238484,Toys,17.55,2.73
P238319,Fashion,40.69,16.98
P203449,Home,138.56,22.96
P216140,Home,34.82,3.51
P211951,Sports,148.39,38.6
P222408,Sports,216.88,108.23
P248667,Fashion,21.29,1.19
P227027,Electronics,399.99,37.22
P224949,Sports,83.09,17.55
P246248,Home,23.78,5.87
P232519,Grocery,7.12,-2.04
P213982,Electronics,130.4,52.3
P237094,Fashion,33.88,52.83
P204648,Toys,15.24,5.25
P232823,Sports,54.76,8.32
P209161,Fashion,80.89,21.47
P234984,Beauty,11.25,0.75
P220687,Electronics,700.62,74.28
P214200,Fashion,11.25,-0.96
P230301,Grocery,1.54,-1.16
P222709,Home,17.63,0.77
P208384,Toys,10.21,1.62
P214025,Home,36.04,5.6
P243647,Fashion,36.07,6.64
P242980,Electronics,109.08,55.71
P246885,Sports,202.2,110.57
P234321,Beauty,14.84,3.25
P233203,Sports,98.53,19.7
P224990,Home,49.6,6.53
P239805,Toys,5.26,0.99
P245926,Fashion,81.38,19.63
P215840,Home,54.13,24.03
P207593,Beauty,11.67,0.01
P216664,Grocery,12.3,-4.32
P209280,Beauty,36.19,10.49
P219067,Sports,28.46,3.1
P201196,Home,156.72,36.18
P219062,Sports,94.77,21.21
P233501,Beauty,3.05,0.26
P203846,Fashion,58.07,13.65
P202661,Grocery,8.32,-1.13
P212653,Sports,176.68,45.42
P249636,Fashion,5.87,-0.31
P245180,Sports,40.37,4.96
P224925,Toys,40.68,11.12
P230070,Home,139.43,69.2
P231620,Beauty,45.38,33.94
P237746,Home,89.81,19.0
P248036,Home,117.54,55.28
P219979,Home,29.09,10.84
P236724,Fashion,30.85,5.16
P224893,Sports,64.23,27.62
P236982,Electronics,347.28,35.36
P209387,Electronics,846.99,91.45
P220273,Beauty,6.55,-0.7
P247341,Toys,19.91,2.15
P243525,Toys,7.68,0.23
P226185,Grocery,6.45,-2.26
P234529,Fashion,25.9,2.65
P233553,Fashion,24.03,3.02
P229059,Electronics,1556.37,175.0
P228559,Fashion,88.03,20.05
P216333,Toys,47.67,12.67
P234699,Sports,40.02,6.66
P219530,Sports,68.72,16.2
P217308,Sports,77.43,14.63
P220021,Electronics,193.19,13.25
P239555,Electronics,375.43,168.3
P218678,Fashion,94.7,55.87
P238215,Sports,25.38,32.0
P213184,Electronics,913.22,207.58
P211990,Sports,36.92,5.52
P215719,Beauty,6.6,0.23
P237933,Fashion,55.72,13.08
P235812,Grocery,5.59,-3.16
P222029,Electronics,1232.62,121.4
P212458,Toys,10.18,-1.0
P236528,Beauty,4.05,3.3
P221640,Beauty,28.04,8.72
P213120,Sports,141.86,35.66
P229197,Home,10.98,-2.23
P239346,Toys,4.99,1.15
P205420,Grocery,26.87,3.98
P223472,Home,78.15,16.43
P208112,Toys,8.8,-0.16
P211012,Sports,111.36,52.52
P202130,Home,13.96,-1.05
P214467,Home,17.7,0.11
P217608,Beauty,17.64,4.1
P224172,Sports,68.29,29.92
P216937,Fashion,75.0,20.38
P230581,Electronics,333.63,31.57
P231924,Home,190.16,91.38
P218289,Beauty,16.62,1.44
P235477,Home,237.47,58.55
P223689,Fashion,44.19,9.3
P220511,Grocery,49.26,2.19
P221049,Toys,13.47,0.86
P221172,Home,48.4,33.09
P231575,Grocery,6.02,-0.68
P225281,Electronics,1131.63,99.02
P240839,Grocery,4.91,-4.33
P239080,Fashion,182.74,55.02
P222005,Fashion,78.24,21.9
P224317,Fashion,69.14,17.81
P206506,Fashion,80.11,21.83
P202475,Fashion,13.08,1.76
P240764,Toys,34.4,8.27
P235212,Electronics,194.82,14.92
P212721,Beauty,13.89,1.24
P233282,Beauty,55.77,41.09
P205831,Electronics,74.34,2.3
P212128,Sports,121.87,28.65
P216760,Sports,155.83,38.72
P245868,Home,319.3,79.76
P240890,Home,20.46,17.22
P248452,Toys,38.26,4.88
P215209,Electronics,133.24,39.59
P203642,Toys,18.56,15.39
P222533,Fashion,22.12,3.85
P232518,Fashion,17.11,5.94
P237896,Beauty,19.38,4.16
P237466,Home,50.33,6.57
P237038,Grocery,17.1,-3.82
